club_home_name,club_away_name,name22,competition_id,round,season,home_club_goals,away_club_goals,away_club_id,home_club_id,game_id,peso round,Overall_home,Overall_away,Overall_league,Overall_Match_Home,Overall_Match_Away
Zenit St Petersburg,Fc Turin,Torino,EL,last 16 1st leg,2014,2,0,416,964,2538957,1.5,0.4090908664476702,0.2180500445768075,0.39,0.028831732045453515,0.022361942882204895
Fc Brugge,Aalborg Bk,AaB,EL,intermediate stage 2nd leg,2014,3,0,1053,2282,2531146,1.0,0.3617993723874599,0.1307027759193653,0.39,0.011877535621674174,0.008490327626385437
Zska Moskau,Espanyol Barcelona,Espanyol,EL,Group H,2019,0,2,714,2410,3252452,1.0,0.2730475795901375,0.2083174273692163,0.39,0.008145644533003446,0.011456256285318411
Wolverhampton Wanderers,Espanyol Barcelona,Espanyol,EL,intermediate stage 1st leg,2019,4,0,714,543,3291983,1.0,0.2185481187766131,0.2083174273692163,0.39,0.009394731162582914,0.0064589421598562225
Fc Getafe,Trabzonspor,Trabzonspor,EL,Group C,2019,1,0,449,3709,3252419,1.0,0.1659531376226571,0.2628055312288799,0.39,0.009466341412665768,0.006517532364469468
Fk Rostov,Trabzonspor,Trabzonspor,EL,Qualifying Round 2nd leg,2014,0,0,449,1083,2483467,1.0,0.2170755793499895,0.2628055312288799,0.39,0.009749922553734953,0.009749922553734953
Juventus Turin,Trabzonspor,Trabzonspor,EL,Second Round 1st leg,2013,2,0,449,506,2385088,1.0,0.6559170432162352,0.2628055312288799,0.39,0.027999972489693013,0.02168141233658267
Lazio Rom,Trabzonspor,Trabzonspor,EL,group J,2013,0,0,449,398,2367206,1.0,0.3609262119082721,0.2628055312288799,0.39,0.01469662191742182,0.01469662191742182
Ssc Neapel,Trabzonspor,Trabzonspor,EL,intermediate stage 2nd leg,2014,1,0,449,6195,2517544,1.0,0.5798086887794309,0.2628055312288799,0.39,0.02512105804944971,0.019325936885474508
As Monaco,Trabzonspor,Trabzonspor,EL,Group H,2022,3,1,449,162,3912623,1.0,0.470407640582901,0.2628055312288799,0.39,0.020982796753940235,0.01594008673460312
