age,Valore Reale,Valore Predetto,club_name,player_name,position,club_involved_name,season
28.0,1.2,1.6256219,Genoa CFC,Francesco Renzetti,Left-Back,Cesena,2016/2017
25.0,8.0,15.896754,Juventus FC,Martín Cáceres,Centre-Back,Sevilla FC,2012/2013
19.0,0.075,0.8506761,Parma FC,Giuliano Laezza,Centre-Back,Arzanese,2013/2014
26.0,1.0,2.5280526,US Salernitana 1919,Pasquale Mazzocchi,Right-Back,Venezia,2022/2023
26.0,4.5,2.0092804,Hamburger SV,Nicolai Müller,Attacking Midfield,1.FSV Mainz 05,2014/2015
21.0,0.4,5.202873,Rio Ave FC,Esmaël Gonçalves,Centre-Forward,OGC Nice,2012/2013
22.0,1.25,3.9941719,Stade Brestois 29,Charlison Benschop,Centre-Forward,AZ Alkmaar,2012/2013
27.0,0.35,1.530228,Amkar Perm,Thomas Phibel,Centre-Back,Widzew Lodz,2013/2014
26.0,1.0,4.1522107,Athletic Bilbao,Cristian Ganea,Left-Back,FC Viitorul,2018/2019
23.0,2.3,2.044215,US Palermo,Simon Makienok,Centre-Forward,Bröndby IF,2014/2015
26.0,16.3,9.319269,Swansea City,Sam Clucas,Central Midfield,Hull City,2017/2018
21.0,4.0,2.4493773,Feyenoord Rotterdam,Santiago Giménez,Centre-Forward,CD Cruz Azul,2022/2023
27.0,2.0,3.5483506,AS Saint-Étienne,Nolan Roux,Centre-Forward,LOSC Lille,2015/2016
25.0,14.0,7.892438,Southampton FC,Dusan Tadić,Left Winger,Twente FC,2014/2015
25.0,4.0,9.219726,Swansea City,Jack Cork,Defensive Midfield,Southampton,2014/2015
18.0,0.07,3.6094258,CSKA Moscow,Lassana N'Diaye,Centre-Forward,Guidars FC,2018/2019
31.0,1.8,4.248879,US Sassuolo,Alessandro Matri,Centre-Forward,AC Milan,2016/2017
20.0,64.0,34.094803,Chelsea FC,Christian Pulisic,Right Winger,Bor. Dortmund,2018/2019
21.0,4.0,6.2076864,AC Milan,Giacomo Beretta,Centre-Forward,Genoa,2013/2014
26.0,35.0,13.195831,West Ham United,Nayef Aguerd,Centre-Back,Stade Rennais,2022/2023
23.0,1.9,3.1395557,Cádiz CF,Brian Ocampo,Right Winger,Nacional,2022/2023
