age,Valore Reale,Valore Predetto,club_name,player_name,position,club_involved_name,season
19.0,2.0,4.343699,AS Roma,Gianluca Caprari,Second Striker,Pescara,2013/2014
23.0,0.4,1.9222351,FC Groningen,Daleho Irandust,Attacking Midfield,Häcken,2021/2022
27.0,3.0,3.2867506,SC Braga,Cristian Borja,Left-Back,Sporting CP,2020/2021
20.0,1.6,2.8713553,Hellas Verona,Matteo Bianchetti,Centre-Back,Inter,2013/2014
24.0,23.5,9.535421,AS Roma,Pau López,Goalkeeper,Real Betis,2019/2020
19.0,8.0,3.3737361,Celta de Vigo,Fran Beltrán,Central Midfield,Rayo Vallecano,2018/2019
22.0,5.0,5.888888,Watford FC,Maduka Okoye,Goalkeeper,Sparta R.,2021/2022
24.0,10.0,10.048808,Burnley FC,Josh Brownhill,Central Midfield,Bristol City,2019/2020
20.0,0.25,1.2012957,Eintracht Braunschweig,Salim Khelifi,Right Midfield,Lausanne-Sport,2013/2014
33.0,9.2,6.969836,West Ham United,José Fonte,Centre-Back,Southampton,2016/2017
24.0,0.05,1.8982502,FK Ufa,Haris Handzic,Centre-Forward,B. Banja Luka,2014/2015
27.0,22.0,7.4311495,Olympique Lyon,Thiago Mendes,Defensive Midfield,LOSC Lille,2019/2020
24.0,0.05,2.73927,Angers SCO,Elhadji Pape Diaw,Centre-Back,Korona Kielce,2018/2019
21.0,16.7,11.173672,AS Monaco,Krépin Diatta,Right Winger,Club Brugge,2020/2021
20.0,7.0,2.4365141,Bologna FC 1909,Takehiro Tomiyasu,Right-Back,Sint-Truiden,2019/2020
28.0,0.6,2.333368,FK Orenburg,Michal Duris,Centre-Forward,Viktoria Plzen,2016/2017
21.0,6.5,11.7822895,Sporting CP,Raphinha,Right Winger,Vit. Guimarães,2018/2019
21.0,2.0,10.243431,Wolverhampton Wanderers,Bendegúz Bolla,Right-Back,Fehérvár,2021/2022
24.0,1.5,6.9905887,SSC Napoli,Raffaele Maiello,Defensive Midfield,Crotone,2015/2016
22.0,32.0,25.95141,Real Madrid,Álvaro Odriozola,Right-Back,Real Sociedad,2018/2019
18.0,5.0,2.0512483,ESTAC Troyes,Metinho,Central Midfield,Fluminense,2021/2022
22.0,30.0,18.915436,Leicester City,Patson Daka,Centre-Forward,RB Salzburg,2021/2022
23.0,8.0,2.7940204,TSG 1899 Hoffenheim,Kasim Adams,Centre-Back,BSC Young Boys,2018/2019
29.0,1.2,2.4391434,SV Werder Bremen,Jérôme Gondorf,Central Midfield,Darmstadt 98,2017/2018
24.0,0.9,15.237025,Atlético de Madrid,Nicolás Ibáñez,Centre-Forward,San Luis,2019/2020
23.0,75.0,41.112244,Liverpool FC,Darwin Núñez,Centre-Forward,Benfica,2022/2023
25.0,0.4,1.8898544,Akhmat Grozny,Darko Todorovic,Right-Back,RB Salzburg,2022/2023
29.0,1.5,2.6613152,Dijon FCO,Wesley Lautoa,Centre-Back,FC Lorient,2017/2018
24.0,1.0,2.2191732,Real Betis Balompié,Alin Tosca,Centre-Back,Steaua Bucharest,2016/2017
19.0,4.0,1.0405403,Udinese Calcio,Lucas Evangelista,Central Midfield,São Paulo,2014/2015
22.0,1.0,1.0312314,AZ Alkmaar,Guus Hupperts,Right Winger,Roda JC,2014/2015
28.0,4.5,3.509199,LOSC Lille,Éder,Centre-Forward,Swansea,2016/2017
32.0,1.0,5.3251905,Atlético de Madrid,Cata Díaz,Centre-Back,Getafe,2012/2013
23.0,19.1,8.156548,Sheffield United,Oliver McBurnie,Centre-Forward,Swansea,2019/2020
20.0,1.3,2.1143548,Hamburger SV,Luca Waldschmidt,Second Striker,E. Frankfurt,2016/2017
22.0,0.05,3.2272627,Rubin Kazan,Ilya Samoshnikov,Left-Back,Torpedo Moscow,2019/2020
19.0,0.1,1.6376644,Genoa CFC,Simone Tascone,Central Midfield,Ternana,2016/2017
23.0,0.9,2.8226554,SpVgg Greuther Fürth,Zoltán Stieber,Attacking Midfield,1.FSV Mainz 05,2012/2013
23.0,15.0,18.287224,Juventus FC,Rolando Mandragora,Defensive Midfield,Udinese Calcio,2020/2021
26.0,25.0,12.903066,AS Monaco,João Moutinho,Central Midfield,FC Porto,2013/2014
23.0,1.2,0.7595274,Torino FC,Salvador Ichazo,Goalkeeper,Danubio FC,2015/2016
17.0,10.0,11.623634,Inter Milan,Eddie Salcedo,Centre-Forward,Genoa,2019/2020
27.0,28.2,9.092541,Crystal Palace,Mamadou Sakho,Centre-Back,Liverpool,2017/2018
23.0,3.4,10.981468,Aston Villa,Kortney Hause,Centre-Back,Wolves,2019/2020
18.0,1.6,4.7592382,Juventus FC,Andrés Tello,Central Midfield,Envigado,2015/2016
18.0,7.0,8.143825,Southampton FC,Juan Larios,Left-Back,Man City U21,2022/2023
27.0,9.0,8.410101,AS Roma,Diego Perotti,Left Winger,Genoa,2016/2017
29.0,0.1,2.271932,Real Valladolid CF,Iván Sánchez,Right Winger,Birmingham,2022/2023
26.0,3.0,7.0746117,Stade Rennais FC,Birger Meling,Left-Back,Nîmes Olympique,2021/2022
23.0,0.3,3.797705,Vitória Guimarães SC,Denis Will Poha,Central Midfield,Stade Rennais,2020/2021
21.0,8.0,8.429419,AC Milan,Yacine Adli,Attacking Midfield,G. Bordeaux,2021/2022
21.0,1.78,2.2599971,Juventus FC,Alberto Gallinetta,Goalkeeper,Parma,2013/2014
26.0,3.0,2.6157887,FC Toulouse,Gen Shoji,Centre-Back,Kashima Antlers,2018/2019
21.0,0.085,3.078502,FK Rostov,Aleksandr Saplinov,Attacking Midfield,Baltika,2019/2020
20.0,0.023,2.0821245,Krylya Sovetov Samara,Nikita Pershin,Defensive Midfield,Chertanovo,2021/2022
24.0,0.4,3.2749097,Boavista FC,Yusupha Njie,Centre-Forward,FUS Rabat,2018/2019
27.0,0.5,3.961931,Valenciennes FC,Anthony Le Tallec,Centre-Forward,AJ Auxerre,2012/2013
22.0,0.25,3.0096743,Angers SCO,Kevin Bemanga,Right Winger,Paris FC B,2020/2021
21.0,1.1,14.1415415,Manchester City,Ko Itakura,Defensive Midfield,Kawasaki Front.,2018/2019
21.0,34.0,28.37777,Manchester United,Memphis Depay,Centre-Forward,PSV Eindhoven,2015/2016
22.0,0.07,2.70213,FK Orenburg,Andrea Chukanov,Attacking Midfield,Tyumen,2018/2019
21.0,1.3,2.3207176,CSKA Moscow,Ilya Agapov,Centre-Back,Pari NN,2022/2023
21.0,1.0,3.0600922,Dijon FCO,Alexandru Dobre,Left Winger,Bournemouth U21,2020/2021
25.0,1.5,1.5633247,SV Werder Bremen,Santiago García,Centre-Back,Rangers Talca,2014/2015
24.0,5.2,8.148594,Swansea City,Tom Carroll,Central Midfield,Spurs,2016/2017
20.0,4.6,2.229932,Málaga CF,Emanuel Cecchini,Central Midfield,Banfield,2017/2018
27.0,2.0,3.6505535,CSKA Moscow,Willyan Rocha,Centre-Back,Portimonense,2022/2023
20.0,16.0,11.343494,RB Leipzig,Nordi Mukiele,Right-Back,Montpellier,2018/2019
21.0,20.0,10.508671,Valencia CF,André Gomes,Central Midfield,Benfica,2015/2016
21.0,37.0,35.292942,Paris Saint-Germain,Thilo Kehrer,Centre-Back,FC Schalke 04,2018/2019
26.0,0.4,5.23066,Fulham FC,Elsad Zverotic,Defensive Midfield,BSC Young Boys,2013/2014
24.0,1.0,5.394019,Eintracht Frankfurt,Ajdin Hrustic,Central Midfield,FC Groningen,2020/2021
21.0,26.5,8.569058,AS Roma,Marash Kumbulla,Centre-Back,Hellas Verona,2021/2022
22.0,2.0,3.2749097,Hertha BSC,Pascal Köpke,Centre-Forward,Erzgebirge Aue,2018/2019
28.0,0.3,2.0081947,FK Rostov,Denis Terentjev,Right-Back,Zenit S-Pb,2020/2021
22.0,0.1,2.1863997,SC Braga,Zé Carlos,Right-Back,Leixões,2020/2021
24.0,2.0,3.1361725,Bologna FC 1909,Filip Helander,Centre-Back,Hellas Verona,2017/2018
21.0,6.8,6.0636044,Bayer 04 Leverkusen,Josip Drmic,Centre-Forward,1.FC Nuremberg,2014/2015
20.0,3.5,4.5684524,RCD Mallorca,Matthew Hoppe,Centre-Forward,FC Schalke 04,2021/2022
33.0,0.2,0.107123375,Willem II Tilburg,Robbin Ruiter,Goalkeeper,PSV Eindhoven,2020/2021
26.0,4.5,3.1389496,AS Saint-Étienne,Mevlüt Erdinc,Centre-Forward,Stade Rennais,2013/2014
23.0,4.0,6.822264,SS Lazio,Luis Alberto,Central Midfield,Liverpool,2016/2017
22.0,2.25,3.0615947,SV Werder Bremen,Luca Caldirola,Centre-Back,Inter,2013/2014
23.0,0.025,2.6605422,Krylya Sovetov Samara,Roman Evgenjev,Centre-Back,Dynamo Moscow,2022/2023
19.0,0.95,7.5552816,Nottingham Forest,Brandon Aguilera,Attacking Midfield,LD Alajuelense,2022/2023
20.0,2.0,3.2956197,RC Strasbourg Alsace,Ibrahima Sissoko,Defensive Midfield,Stade Brestois,2018/2019
23.0,0.7,2.524958,SC Freiburg,Philipp Zulechner,Centre-Forward,Grödig,2013/2014
19.0,1.0,3.8788164,OGC Nice,Lucas Da Cunha,Left Winger,Stade Rennais,2020/2021
25.0,24.0,18.012894,Inter Milan,Matías Vecino,Central Midfield,Fiorentina,2017/2018
19.0,0.1,2.6918848,FK Ufa,Kirill Folmer,Central Midfield,Spartak 2,2019/2020
22.0,0.2,16.11323,Manchester City,Pablo Marí,Centre-Back,Gimnàstic,2016/2017
25.0,19.0,12.899813,Tottenham Hotspur,Mousa Dembélé,Central Midfield,Fulham,2012/2013
24.0,1.2,3.0264618,FC Famalicão,Heriberto Tavares,Right Winger,Stade Brestois,2021/2022
24.0,2.0,4.389931,1.FSV Mainz 05,Christian Clemens,Right Winger,FC Schalke 04,2016/2017
26.0,4.5,3.0639918,RCD Espanyol Barcelona,Edu Expósito,Central Midfield,SD Eibar,2022/2023
22.0,2.0,2.8579772,AS Nancy-Lorraine,Yohan Mollo,Right Winger,Granada CF,2012/2013
29.0,4.5,2.7140863,SS Lazio,Marco Parolo,Central Midfield,Parma,2014/2015
19.0,2.0,2.6079805,Real Valladolid CF,Stiven Plaza,Centre-Forward,Independiente,2018/2019
18.0,0.058,1.6955063,Krylya Sovetov Samara,Artem Sokolov,Attacking Midfield,Khimki,2021/2022
19.0,1.5,2.9723022,VfB Stuttgart,Naouirou Ahamada,Defensive Midfield,Juventus U23,2021/2022
19.0,1.9,8.115748,Juventus FC,Mohamed Ihattaren,Attacking Midfield,PSV Eindhoven,2021/2022
27.0,3.0,2.6878679,Udinese Calcio,Bram Nuytinck,Centre-Back,RSC Anderlecht,2017/2018
23.0,12.5,10.208552,SSC Napoli,Manolo Gabbiadini,Centre-Forward,Sampdoria,2014/2015
28.0,3.0,3.9109523,RC Strasbourg Alsace,Jean-Eudes Aholou,Defensive Midfield,Monaco,2022/2023
33.0,0.7,0.98777926,US Palermo,Alessandro Gazzi,Defensive Midfield,Torino,2016/2017
20.0,7.0,3.8964317,US Sassuolo,Pol Lirola,Right-Back,Juventus,2017/2018
20.0,12.0,17.117382,RB Leipzig,Hannes Wolf,Attacking Midfield,RB Salzburg,2019/2020
21.0,1.0,1.2913684,Parma FC,Francesco Finocchio,Right Midfield,Bologna,2013/2014
20.0,2.7,3.776974,ACF Fiorentina,Rafal Wolski,Attacking Midfield,Legia Warszawa,2012/2013
19.0,0.5,4.029001,SL Benfica,Hany Mukhtar,Attacking Midfield,Hertha BSC,2014/2015
20.0,3.5,5.78985,VfL Wolfsburg,Micky van de Ven,Centre-Back,FC Volendam,2021/2022
21.0,1.8,1.5932024,FC Lorient,Jimmy Cabot,Right Midfield,Troyes,2015/2016
25.0,0.5,2.8469865,Chievo Verona,Alejandro Rodríguez,Centre-Forward,Cesena,2017/2018
22.0,3.5,3.797705,Udinese Calcio,Jean-Victor Makengo,Central Midfield,OGC Nice,2020/2021
20.0,11.0,9.565773,Bayer 04 Leverkusen,Jeremie Frimpong,Right-Back,Celtic,2020/2021
26.0,2.5,2.7246134,SD Huesca,Serdar Gürler,Right Winger,Osmanlispor,2018/2019
25.0,2.7,3.9809182,CD Leganés,Jonathan Silva,Left-Back,Sporting CP,2019/2020
23.0,7.0,5.5871654,Genoa CFC,Francesco Cassata,Central Midfield,Sassuolo,2020/2021
28.0,3.3,3.375829,Hannover 96,Mevlüt Erdinc,Centre-Forward,Saint-Étienne,2015/2016
25.0,5.0,2.9743526,Granada CF,Luis Milla,Central Midfield,CD Tenerife,2020/2021
23.0,0.5,4.3902903,VfB Stuttgart,Erik Thommy,Left Midfield,FC Augsburg,2017/2018
23.0,1.75,19.586401,Real Madrid,Lucas Torró,Defensive Midfield,CA Osasuna,2018/2019
30.0,0.2,4.1110263,Fortuna Düsseldorf,Stefan Reisinger,Centre-Forward,SC Freiburg,2012/2013
29.0,8.0,3.7624786,CA Osasuna,Ante Budimir,Centre-Forward,RCD Mallorca,2021/2022
24.0,5.0,2.8226554,Málaga CF,Keko Gontán,Right Winger,SD Eibar,2016/2017
23.0,1.2,3.0664036,FC Évian Thonon Gaillard,Daniel Wass,Central Midfield,Benfica,2012/2013
24.0,8.0,3.6063035,FC Toulouse,Wesley Saïd,Left Winger,Dijon,2019/2020
24.0,13.8,11.935462,Wolverhampton Wanderers,Leander Dendoncker,Defensive Midfield,RSC Anderlecht,2019/2020
21.0,2.3,3.6921608,FK Rostov,Sardar Azmoun,Centre-Forward,Rubin Kazan,2016/2017
25.0,0.5,4.2825127,Sporting CP,Luiz Phellype,Centre-Forward,Paços Ferreira,2018/2019
21.0,0.172,2.5990121,FC Nizhniy Novgorod,Timur Suleymanov,Centre-Forward,Loko-Kazanka M.,2021/2022
28.0,8.5,6.31139,ACF Fiorentina,Antonin Barak,Attacking Midfield,Hellas Verona,2022/2023
23.0,4.0,2.7314098,Málaga CF,Michael Santos,Centre-Forward,River Plate,2016/2017
26.0,1.1,2.2877948,UC Sampdoria,Andrea Costa,Centre-Back,Reggina,2012/2013
24.0,11.0,13.45679,Sevilla FC,Óliver Torres,Central Midfield,FC Porto,2019/2020
25.0,4.2,4.277951,ACF Fiorentina,Nenad Tomović,Centre-Back,Genoa,2012/2013
23.0,0.2,2.5084012,US Salernitana 1919,Reda Boultam,Attacking Midfield,Triestina,2021/2022
27.0,10.0,5.1095104,Stade Rennais FC,Alfred Gomis,Goalkeeper,Dijon,2020/2021
27.0,49.4,9.330643,Everton FC,Gylfi Sigurdsson,Attacking Midfield,Swansea,2017/2018
19.0,18.8,11.724855,RB Leipzig,Josko Gvardiol,Centre-Back,Dinamo Zagreb,2021/2022
26.0,0.5,2.9059918,Vitória Guimarães SC,Paolo Hurtado,Attacking Midfield,Reading,2017/2018
29.0,6.0,2.0589736,Hamburger SV,Valon Behrami,Defensive Midfield,SSC Napoli,2014/2015
25.0,2.0,3.7835085,Dijon FCO,Naïm Sliti,Left Winger,LOSC Lille,2018/2019
20.0,38.0,19.476826,Paris Saint-Germain,Nuno Mendes,Left-Back,Sporting CP,2022/2023
23.0,1.2,1.9894648,FC Metz,Fakhreddine Ben Youssef,Centre-Forward,CS Sfaxien,2014/2015
26.0,4.0,2.3891332,Celta de Vigo,Javi Galán,Left-Back,SD Huesca,2021/2022
19.0,0.5,0.8506761,Parma FC,Mory Koné,Centre-Back,Le Mans FC,2013/2014
25.0,4.5,4.078111,SL Benfica,Ljubomir Fejsa,Defensive Midfield,Olympiacos,2013/2014
26.0,10.0,7.189181,Sevilla FC,Carlos Bacca,Centre-Forward,Club Brugge,2013/2014
20.0,3.25,1.8193954,Feyenoord Rotterdam,Patrik Walemark,Right Winger,Häcken,2021/2022
26.0,22.0,11.378306,Southampton FC,Guido Carrillo,Centre-Forward,Monaco,2017/2018
20.0,12.0,6.1394625,Newcastle United,Chancel Mbemba,Centre-Back,RSC Anderlecht,2015/2016
25.0,1.6,4.295092,Torino FC,Gianluca Sansone,Centre-Forward,Sassuolo,2012/2013
23.0,17.0,19.063099,Leeds United,Tyler Adams,Defensive Midfield,RB Leipzig,2022/2023
20.0,1.0,1.121514,Feyenoord Rotterdam,Marcus Pedersen,Right-Back,Molde,2021/2022
31.0,0.35,0.48234132,SC Paderborn 07,Srdjan Lakic,Centre-Forward,1.FC K'lautern,2014/2015
25.0,2.0,5.0500584,SC Freiburg,Chang-hoon Kwon,Right Winger,Dijon,2019/2020
29.0,1.0,1.6149316,VfB Stuttgart,Karim Haggui,Centre-Back,Hannover 96,2013/2014
26.0,22.0,8.86956,Valencia CF,Aymen Abdennour,Centre-Back,Monaco,2015/2016
33.0,8.0,4.5053535,West Ham United,Lukasz Fabianski,Goalkeeper,Swansea,2018/2019
23.0,25.0,35.601284,Paris Saint-Germain,Jesé,Centre-Forward,Real Madrid,2016/2017
23.0,0.75,2.2505205,SC Braga,Lazar Rosic,Centre-Back,Vojvodina,2016/2017
22.0,10.0,10.857559,Atlético de Madrid,Josuha Guilavogui,Defensive Midfield,Saint-Étienne,2013/2014
24.0,6.32,11.140402,Newcastle United,Emmanuel Rivière,Centre-Forward,Monaco,2014/2015
24.0,12.8,14.216665,Leeds United,Jack Harrison,Left Winger,Man City,2021/2022
20.0,1.0,2.4648302,SM Caen,Jan Repas,Central Midfield,NK Domzale,2017/2018
19.0,8.25,7.617806,Ajax Amsterdam,Hassane Bandé,Left Winger,KV Mechelen,2018/2019
21.0,8.0,3.6946294,CSKA Moscow,Bruno Fuchs,Centre-Back,Internacional,2020/2021
23.0,0.9,2.3045943,Genoa CFC,Anselmo,Defensive Midfield,Palmeiras,2012/2013
20.0,20.0,12.044687,AS Monaco,Geoffrey Kondogbia,Defensive Midfield,Sevilla FC,2013/2014
28.0,5.72,7.42343,Atalanta BC,Etrit Berisha,Goalkeeper,Lazio,2017/2018
24.0,0.05,2.044215,SC Paderborn 07,Viktor Maier,Centre-Forward,SV Lippstadt 08,2014/2015
24.0,57.37,68.247345,Manchester United,Lisandro Martínez,Centre-Back,Ajax,2022/2023
23.0,2.5,9.045126,ACF Fiorentina,Sebastián Cristóforo,Central Midfield,Sevilla FC,2017/2018
24.0,3.0,9.448555,Juventus FC,Stefano Gori,Goalkeeper,AC Pisa,2020/2021
24.0,0.4,6.622423,Delfino Pescara 1936,Stefano Pettinari,Centre-Forward,AS Roma,2016/2017
20.0,0.001,4.197405,Parma Calcio 1913,Abdou Diakhate,Central Midfield,Fiorentina U19,2018/2019
22.0,0.25,2.6267536,SPAL,Lorenzo Dickmann,Right-Back,Novara,2019/2020
20.0,8.5,14.515161,Bayern Munich,Joshua Kimmich,Defensive Midfield,VfB Stuttgart,2015/2016
19.0,0.3,2.0451539,FK Rostov,Nikolay Poyarkov,Left-Back,Loko-Kazanka M.,2019/2020
28.0,11.0,6.6717715,Genoa CFC,Gianluca Lapadula,Centre-Forward,AC Milan,2018/2019
21.0,0.8,1.9003145,US Palermo,Manuel Arteaga,Centre-Forward,Zulia FC,2015/2016
21.0,16.0,5.6305323,Zenit St. Petersburg,Emanuel Mammana,Centre-Back,Olympique Lyon,2017/2018
19.0,1.5,2.1393583,OGC Nice,Bassem Srarfi,Right Winger,Club Africain,2016/2017
25.0,1.2,5.0214443,FC Toulouse,Tongo Doumbia,Defensive Midfield,Wolves,2014/2015
18.0,1.5,1.0405403,Udinese Calcio,Melker Hallberg,Central Midfield,Kalmar FF,2014/2015
28.0,11.7,7.1508985,Fulham FC,Anthony Knockaert,Right Winger,Brighton,2020/2021
19.0,26.5,4.6687865,FC Schalke 04,Breel Embolo,Centre-Forward,FC Basel,2016/2017
23.0,40.0,7.075257,Zenit St. Petersburg,Axel Witsel,Defensive Midfield,Benfica,2012/2013
20.0,0.012,3.505318,FK Rostov,Aleksandr Dolgov,Centre-Forward,Loko-Kazanka M.,2019/2020
28.0,21.2,13.743624,Atalanta BC,Luis Muriel,Centre-Forward,Sevilla FC,2019/2020
18.0,0.25,3.4543283,AS Roma,Tomas Svedkauskas,Goalkeeper,Suduva,2012/2013
28.0,1.5,2.5459306,1.FSV Mainz 05,Dominik Kohr,Central Midfield,E. Frankfurt,2022/2023
20.0,14.0,9.108199,Southampton FC,Gavin Bazunu,Goalkeeper,Man City U21,2022/2023
22.0,39.0,23.095863,Chelsea FC,Michy Batshuayi,Centre-Forward,Marseille,2016/2017
22.0,4.0,3.7157347,FC Lorient,Jordan Ayew,Centre-Forward,Marseille,2014/2015
29.0,3.5,5.694118,Sevilla FC,Mariano,Right-Back,G. Bordeaux,2015/2016
24.0,0.75,1.1765933,VfB Stuttgart,Philip Heise,Left-Back,1.FC Heidenheim,2015/2016
25.0,0.9,1.4816076,Hellas Verona,Raphael Martinho,Left Midfield,Catania,2013/2014
22.0,0.55,3.3726861,FC Groningen,Género Zeefuik,Centre-Forward,PSV Eindhoven,2012/2013
21.0,5.0,3.4931147,Real Betis Balompié,Dani Martín,Goalkeeper,Sporting Gijón,2019/2020
19.0,2.3,0.84502023,Udinese Calcio,Douglas Santos,Left-Back,Granada CF,2013/2014
20.0,15.25,5.520389,Bayer 04 Leverkusen,Hakan Calhanoglu,Central Midfield,Hamburger SV,2014/2015
21.0,1.0,9.550552,SSC Napoli,Michael Folorunsho,Central Midfield,V. Francavilla,2019/2020
19.0,4.5,1.7740138,Udinese Calcio,Giuseppe Pezzella,Left-Back,US Palermo,2017/2018
22.0,11.5,2.7261837,Spartak Moscow,Quincy Promes,Left Winger,Twente FC,2014/2015
31.0,1.5,5.278949,SSC Napoli,Emanuele Giaccherini,Left Midfield,Sunderland,2016/2017
22.0,0.25,2.6214945,Vitória Guimarães SC,Matheus Índio,Defensive Midfield,Trofense,2022/2023
27.0,14.4,7.755487,AS Roma,Seydou Doumbia,Centre-Forward,CSKA Moscow,2014/2015
26.0,3.9,3.765464,Hellas Verona,Adrien Tamèze,Defensive Midfield,OGC Nice,2020/2021
25.0,0.5,2.1586297,Terek Grozny,Odise Roshi,Right Winger,HNK Rijeka,2016/2017
22.0,0.05,3.1395557,Gil Vicente FC,Juan Manuel Boselli,Right Winger,Tondela,2022/2023
28.0,33.3,12.890146,AC Milan,Carlos Bacca,Centre-Forward,Sevilla FC,2015/2016
26.0,9.5,7.1722794,Sevilla FC,Ganso,Attacking Midfield,São Paulo,2016/2017
22.0,86.0,35.368793,FC Barcelona,Frenkie de Jong,Central Midfield,Ajax,2019/2020
20.0,1.5,3.5898316,Atalanta BC,Rubén Bentancourt,Centre-Forward,PSV U21,2013/2014
20.0,10.0,4.302068,Olympique Lyon,Pape Cheikh,Central Midfield,Celta de Vigo,2017/2018
23.0,1.25,3.7867715,Nîmes Olympique,Moussa Koné,Centre-Forward,Dynamo Dresden,2019/2020
23.0,2.8,3.6483715,FC Toulouse,Christopher Jullien,Centre-Back,SC Freiburg,2016/2017
18.0,35.0,18.86251,Bayern Munich,Renato Sanches,Central Midfield,Benfica,2016/2017
20.0,8.0,17.01397,Liverpool FC,Luis Alberto,Central Midfield,Sevilla FC,2013/2014
23.0,6.0,3.0061467,PSV Eindhoven,Joey Veerman,Central Midfield,Heerenveen,2021/2022
23.0,0.5,2.3212001,UC Sampdoria,Mirko Eramo,Central Midfield,Crotone,2013/2014
24.0,0.6,12.743595,Atalanta BC,Viktor Kovalenko,Attacking Midfield,Shakhtar D.,2020/2021
28.0,3.0,2.3338568,CD Leganés,Dimitrios Siovas,Centre-Back,Olympiacos,2017/2018
24.0,0.38,0.7412775,Terek Grozny,Zaurbek Pliev,Left-Back,Kairat Almaty,2015/2016
28.0,2.5,4.8345084,Valencia CF,Dimitri Foulquier,Right-Back,Granada CF,2021/2022
28.0,113.0,33.532894,Chelsea FC,Romelu Lukaku,Centre-Forward,Inter,2021/2022
27.0,1.2,2.8756135,Celta de Vigo,Fabián Orellana,Right Winger,Granada CF,2012/2013
25.0,1.28,3.3788273,Vitória Guimarães SC,João Carlos Teixeira,Attacking Midfield,FC Porto,2018/2019
22.0,0.6,1.0312314,Twente Enschede FC,Kasper Kusk,Right Winger,Aalborg BK,2014/2015
22.0,0.7,5.1757617,US Sassuolo,Andrea Meroni,Centre-Back,AC Pisa,2019/2020
18.0,1.0,5.777924,SV Werder Bremen,Romano Schmid,Attacking Midfield,RB Salzburg,2018/2019
21.0,1.8,1.4954664,AZ Alkmaar,Alireza Jahanbakhsh,Right Winger,NEC Nijmegen,2015/2016
26.0,0.5,2.3486364,Hellas Verona,Fabrizio Cacciatore,Right-Back,Sampdoria,2013/2014
28.0,2.0,2.284815,Dynamo Moscow,Nicolas Moumi Ngamaleu,Left Winger,BSC Young Boys,2022/2023
28.0,1.8,1.4988816,Cádiz CF,Jeremías Ledesma,Goalkeeper,Rosario Central,2021/2022
25.0,0.182,1.5529823,Tom Tomsk,Pavel Nekhaychik,Left Winger,BATE Borisov,2013/2014
25.0,0.12,1.4985914,Roda JC Kerkrade,Ognjen Gnjatic,Defensive Midfield,Platanias,2016/2017
24.0,1.5,3.0450737,Nîmes Olympique,Patrick Burner,Right-Back,OGC Nice,2020/2021
23.0,0.285,1.7734398,SPAL 2013,Pa Konate,Left-Back,Malmö FF,2017/2018
22.0,0.3,2.701022,FK Rostov,Eldor Shomurodov,Centre-Forward,Bunyodkor,2017/2018
26.0,20.0,20.823458,RB Leipzig,Timo Werner,Centre-Forward,Chelsea,2022/2023
23.0,12.5,7.434492,Borussia Mönchengladbach,Jannik Vestergaard,Centre-Back,Werder Bremen,2016/2017
20.0,0.8,2.5777361,US Lecce,Brayan Vera,Left-Back,Leones FC,2019/2020
19.0,2.5,1.9315441,Hellas Verona,Matteo Cancellieri,Right Winger,Roma U19,2021/2022
25.0,0.2,3.9341538,SC Paderborn 07,Dennis Srbeny,Centre-Forward,Norwich,2019/2020
26.0,4.9,7.8996577,Swansea City,Franck Tabanou,Left-Back,Saint-Étienne,2015/2016
22.0,0.135,2.8284733,VfL Bochum,Moritz Broschinski,Centre-Forward,B. Dortmund II,2022/2023
25.0,0.25,1.9842672,FK Khimki,Lachezar Kotev,Defensive Midfield,Arda Kardzhali,2022/2023
22.0,0.2,2.6214945,US Cremonese,Joshua Tenkorang,Central Midfield,Campobasso,2022/2023
23.0,1.0,3.1395557,Boavista FC,Ibrahima,Defensive Midfield,Moreirense,2022/2023
23.0,10.5,3.5308712,SS Lazio,Denis Vavro,Centre-Back,FC Copenhagen,2019/2020
28.0,0.15,3.6342952,1.FC Union Berlin,Dominique Heintz,Centre-Back,SC Freiburg,2021/2022
28.0,3.8,10.485588,Huddersfield Town,Laurent Depoitre,Centre-Forward,FC Porto,2017/2018
26.0,0.7,2.1418302,FK Rostov,Miha Mevlja,Centre-Back,FC Dinamo,2016/2017
18.0,1.9,7.345004,Chelsea FC,Cristian Cuevas,Left-Back,O'Higgins,2013/2014
23.0,6.5,4.039251,Chievo Verona,Alberto Paloschi,Centre-Forward,Genoa,2012/2013
24.0,12.0,9.17669,SPAL,Andrea Petagna,Centre-Forward,Atalanta BC,2019/2020
23.0,2.5,3.095977,VfB Stuttgart,Chris Führich,Right Winger,SC Paderborn,2021/2022
28.0,120.0,37.43338,FC Barcelona,Antoine Griezmann,Second Striker,Atlético Madrid,2019/2020
24.0,1.0,3.0746696,Delfino Pescara 1936,Ahmad Benali,Central Midfield,US Palermo,2016/2017
31.0,38.0,31.39792,Chelsea FC,Kalidou Koulibaly,Centre-Back,SSC Napoli,2022/2023
23.0,2.0,0.54519707,FK Krasnodar,Aleksandr Filtsov,Goalkeeper,Loko Moscow,2013/2014
24.0,1.2,2.7314098,CD Leganés,Mamadou Koné,Centre-Forward,Racing,2016/2017
22.0,2.0,3.0487912,LOSC Lille,Ibrahim Amadou,Defensive Midfield,AS Nancy,2015/2016
22.0,0.7,2.362944,Stade Reims,Thibault De Smet,Left-Back,Sint-Truiden,2020/2021
20.0,0.5,1.2678078,FC Groningen,Mimoun Mahi,Centre-Forward,Sparta R.,2014/2015
