age,Valore Reale,Valore Predetto,club_name,player_name,position,club_involved_name,season,Differenza
25.0,4.0,4.27386,ACF Fiorentina,Milan Badelj,Defensive Midfield,Hamburger SV,2014/2015,0.27386
26.0,6.0,4.869114,Getafe CF,Pedro León,Right Winger,Real Madrid,2013/2014,-1.1308860000000003
30.0,2.0,6.960426,UC Sampdoria,Lorenzo Tonelli,Centre-Back,SSC Napoli,2020/2021,4.960426
21.0,2.0,3.8856869,UC Sampdoria,Stefano Beltrame,Attacking Midfield,Juventus,2014/2015,1.8856869
19.0,9.0,4.8197303,Borussia Mönchengladbach,Kouadio Koné,Central Midfield,Toulouse,2020/2021,-4.1802697
24.0,6.0,7.449516,LOSC Lille,Léo Jardim,Goalkeeper,Rio Ave FC,2019/2020,1.449516
23.0,2.0,4.012732,SC Freiburg,Lucas Höler,Centre-Forward,SV Sandhausen,2017/2018,2.0127319999999997
22.0,4.0,2.35747,Sporting CP,Marcos Rojo,Centre-Back,Spartak Moscow,2012/2013,-1.6425299999999998
31.0,1.0,3.1621192,VfB Stuttgart,Genki Haraguchi,Attacking Midfield,Union Berlin,2022/2023,2.1621192
27.0,12.0,6.5472064,Olympique Marseille,Pau López,Goalkeeper,AS Roma,2022/2023,-5.4527936
24.0,6.0,14.4908285,Newcastle United,Daryl Janmaat,Centre-Back,Feyenoord,2014/2015,8.4908285
28.0,1.2,1.8642875,Genoa CFC,Francesco Renzetti,Left-Back,Cesena,2016/2017,0.6642875000000001
25.0,8.0,21.84859,Juventus FC,Martín Cáceres,Centre-Back,Sevilla FC,2012/2013,13.848590000000002
19.0,0.075,0.50693995,Parma FC,Giuliano Laezza,Centre-Back,Arzanese,2013/2014,0.43193995
26.0,1.0,1.9194411,US Salernitana 1919,Pasquale Mazzocchi,Right-Back,Venezia,2022/2023,0.9194411
26.0,4.5,2.0251427,Hamburger SV,Nicolai Müller,Attacking Midfield,1.FSV Mainz 05,2014/2015,-2.4748573
21.0,0.4,5.5144715,Rio Ave FC,Esmaël Gonçalves,Centre-Forward,OGC Nice,2012/2013,5.1144715
22.0,1.25,3.6775684,Stade Brestois 29,Charlison Benschop,Centre-Forward,AZ Alkmaar,2012/2013,2.4275684
27.0,0.35,1.3106948,Amkar Perm,Thomas Phibel,Centre-Back,Widzew Lodz,2013/2014,0.9606948000000001
26.0,1.0,3.0749195,Athletic Bilbao,Cristian Ganea,Left-Back,FC Viitorul,2018/2019,2.0749195
23.0,2.3,1.908719,US Palermo,Simon Makienok,Centre-Forward,Bröndby IF,2014/2015,-0.39128099999999977
26.0,16.3,7.7397065,Swansea City,Sam Clucas,Central Midfield,Hull City,2017/2018,-8.5602935
21.0,4.0,5.8208475,Feyenoord Rotterdam,Santiago Giménez,Centre-Forward,CD Cruz Azul,2022/2023,1.8208475000000002
27.0,2.0,6.9864707,AS Saint-Étienne,Nolan Roux,Centre-Forward,LOSC Lille,2015/2016,4.9864707
25.0,14.0,9.145958,Southampton FC,Dusan Tadić,Left Winger,Twente FC,2014/2015,-4.854042
25.0,4.0,10.692155,Swansea City,Jack Cork,Defensive Midfield,Southampton,2014/2015,6.692155
18.0,0.07,3.5420723,CSKA Moscow,Lassana N'Diaye,Centre-Forward,Guidars FC,2018/2019,3.4720723000000002
31.0,1.8,3.5647137,US Sassuolo,Alessandro Matri,Centre-Forward,AC Milan,2016/2017,1.7647137
20.0,64.0,29.187666,Chelsea FC,Christian Pulisic,Right Winger,Bor. Dortmund,2018/2019,-34.812334
21.0,4.0,6.4060183,AC Milan,Giacomo Beretta,Centre-Forward,Genoa,2013/2014,2.4060183000000004
26.0,35.0,11.775596,West Ham United,Nayef Aguerd,Centre-Back,Stade Rennais,2022/2023,-23.224404
23.0,1.9,2.3212419,Cádiz CF,Brian Ocampo,Right Winger,Nacional,2022/2023,0.42124190000000006
22.0,0.225,2.211073,EA Guingamp,Lebogang Phiri,Central Midfield,Bröndby IF,2017/2018,1.9860729999999998
24.0,4.9,14.306619,Tottenham Hotspur,Kieran Trippier,Right-Back,Burnley,2015/2016,9.406619
27.0,0.4,2.5143528,Vitesse Arnhem,Tomas Hajek,Centre-Back,Viktoria Plzen,2019/2020,2.1143528000000003
18.0,0.3,2.1810813,Spartak Moscow,Nail Umyarov,Defensive Midfield,Chertanovo,2018/2019,1.8810812999999997
30.0,22.5,14.141582,AC Milan,Nikola Kalinic,Centre-Forward,Fiorentina,2018/2019,-8.358418
21.0,3.4,1.6767741,Parma FC,Alessandro Iacobucci,Goalkeeper,Siena,2012/2013,-1.7232258999999999
23.0,14.0,6.967785,ACF Fiorentina,Arthur Cabral,Centre-Forward,FC Basel,2021/2022,-7.032215
19.0,0.15,2.5330176,Rubin Kazan,Rifat Zhemaletdinov,Attacking Midfield,Loko Moscow II,2016/2017,2.3830176
20.0,22.7,13.0606,AFC Bournemouth,Ilya Zabarnyi,Centre-Back,Dynamo Kyiv,2022/2023,-9.639399999999998
25.0,5.5,1.0669554,Dinamo Moscow,Alexander Büttner,Left-Back,Man Utd,2014/2015,-4.4330446
30.0,4.0,3.4309797,Benevento Calcio,Gianluca Lapadula,Centre-Forward,Genoa,2020/2021,-0.5690203
23.0,2.75,1.865559,Sporting CP,Josip Misic,Central Midfield,HNK Rijeka,2017/2018,-0.884441
30.0,4.5,2.2039351,US Sassuolo,Federico Peluso,Left-Back,Juventus,2014/2015,-2.2960649
26.0,0.3,0.040400993,NEC Nijmegen,Lasse Nielsen,Centre-Back,Aalborg BK,2013/2014,-0.259599007
21.0,0.4,2.1511877,GD Estoril Praia,Léo Bonatini,Centre-Forward,Cruzeiro,2015/2016,1.7511877
26.0,1.0,1.7926208,Hellas Verona,Lorenzo Montipò,Goalkeeper,Benevento,2022/2023,0.7926207999999999
22.0,10.0,11.740241,Huddersfield Town,Adama Diakhaby,Left Winger,Monaco,2018/2019,1.7402409999999993
29.0,4.8,3.4300795,VfL Wolfsburg,Naldo,Centre-Back,Werder Bremen,2012/2013,-1.3699204999999997
20.0,0.2,0.339758,Deportivo de La Coruña,Saúl García,Left-Back,Racing,2014/2015,0.139758
18.0,0.35,2.2646894,FC Metz,Boubacar Traoré,Central Midfield,AS Bamako,2019/2020,1.9146893999999999
18.0,11.0,5.2993693,Brighton & Hove Albion,Kacper Kozlowski,Central Midfield,Pogon Szczecin,2021/2022,-5.7006307
24.0,2.25,7.2856817,Watford FC,Ken Sema,Left Midfield,Östersund,2018/2019,5.0356817
21.0,12.0,8.768039,AS Roma,Adem Ljajic,Attacking Midfield,Fiorentina,2013/2014,-3.231961
29.0,0.8,1.2004665,Kuban Krasnodar (-2018),Stanislav Manolev,Right Winger,Dinamo Moscow,2014/2015,0.40046650000000006
32.0,0.2,0.48584533,Hellas Verona,Francesco Benussi,Goalkeeper,Udinese Calcio,2014/2015,0.28584533
24.0,3.5,3.7711558,Celta de Vigo,Gabriel Fernández,Centre-Forward,Peñarol,2018/2019,0.27115579999999984
20.0,0.435,2.5456963,FK Orenburg,Danila Khotulev,Centre-Back,Zenit 2 S-Pb,2022/2023,2.1106963
26.0,8.0,4.2906585,Athletic Bilbao,Beñat Etxebarria,Central Midfield,Real Betis,2013/2014,-3.7093415
23.0,1.5,1.8652514,Montpellier HSC,Lukas Pokorny,Centre-Back,Slovan Liberec,2016/2017,0.3652514
25.0,0.5,3.339302,SM Caen,Florian Raspentino,Centre-Forward,Marseille,2014/2015,2.839302
23.0,4.0,4.566771,Stade Reims,Anastasios Donis,Centre-Forward,VfB Stuttgart,2020/2021,0.5667710000000001
24.0,2.5,2.4203691,Hannover 96,Josip Elez,Centre-Back,HNK Rijeka,2018/2019,-0.07963090000000017
20.0,5.0,4.387958,Olympique Marseille,Karim Rekik,Centre-Back,Man City,2015/2016,-0.6120419999999998
18.0,1.0,2.157525,Real Sociedad,David Concha,Right Winger,Racing,2015/2016,1.1575250000000001
29.0,12.0,4.7578044,FK Krasnodar,Rémy Cabella,Attacking Midfield,Saint-Étienne,2019/2020,-7.2421956
27.0,1.15,2.976361,Deportivo Alavés,Mamadou Sylla,Centre-Forward,Girona,2021/2022,1.826361
25.0,0.25,1.965119,Genoa CFC,Enis Nadarevic,Left Winger,Varese,2012/2013,1.715119
31.0,5.6,6.3497715,Wolverhampton Wanderers,João Moutinho,Central Midfield,Monaco,2018/2019,0.7497715000000005
24.0,21.0,10.202919,AC Milan,Andrea Bertolacci,Central Midfield,AS Roma,2015/2016,-10.797081
23.0,1.5,1.879798,FC Ingolstadt 04,Elias Kachunga,Right Winger,SC Paderborn,2015/2016,0.3797980000000001
24.0,1.5,2.6302164,FC Porto,Hyun-jun Suk,Centre-Forward,Vitória Setúbal,2015/2016,1.1302164000000001
18.0,31.1,9.1285095,Inter Milan,Alessandro Bastoni,Centre-Back,Atalanta BC,2017/2018,-21.9714905
21.0,0.26,1.9802104,FK Ufa,Artem Golubev,Defensive Midfield,Krasnodar,2020/2021,1.7202104
23.0,0.3,1.9282688,Excelsior Rotterdam,Elías Már Ómarsson,Centre-Forward,IFK Göteborg,2018/2019,1.6282687999999998
23.0,1.5,6.6155367,SS Lazio,Moritz Leitner,Central Midfield,Bor. Dortmund,2016/2017,5.1155367
20.0,30.0,22.778934,Paris Saint-Germain,Gonçalo Guedes,Left Winger,Benfica,2016/2017,-7.221066
28.0,7.0,5.9136252,LOSC Lille,Benjamin André,Defensive Midfield,Stade Rennais,2019/2020,-1.0863747999999998
22.0,4.0,1.8610185,Stade Reims,Ghislain Konan,Left-Back,Vit. Guimarães,2018/2019,-2.1389815
23.0,14.0,6.2783675,TSG 1899 Hoffenheim,Diadié Samassékou,Defensive Midfield,RB Salzburg,2019/2020,-7.7216325
20.0,8.0,8.25559,LOSC Lille,Sven Botman,Centre-Back,Ajax U21,2020/2021,0.25558999999999976
23.0,4.0,2.5543523,FC Porto,Zaidu,Left-Back,Santa Clara,2020/2021,-1.4456476999999999
31.0,2.0,1.3389064,AJ Auxerre,Nuno Da Costa,Centre-Forward,Nottm Forest,2022/2023,-0.6610936000000001
29.0,0.2,1.4069144,Málaga CF,Cenk Gönen,Goalkeeper,Galatasaray,2017/2018,1.2069144
23.0,7.5,2.0330303,Sporting CP,Marcus Edwards,Right Winger,Vit. Guimarães,2021/2022,-5.4669697
22.0,1.0,5.836237,Eintracht Frankfurt,Andersson Ordóñez,Centre-Back,Barcelona SC,2016/2017,4.836237
29.0,10.0,12.795981,Zenit St. Petersburg,Yaroslav Rakitskyi,Centre-Back,Shakhtar D.,2018/2019,2.7959809999999994
25.0,7.0,11.527891,Brighton & Hove Albion,Deniz Undav,Centre-Forward,Union SG,2021/2022,4.527891
24.0,84.7,31.023878,Manchester United,Romelu Lukaku,Centre-Forward,Everton,2017/2018,-53.67612200000001
27.0,2.5,5.426282,Leicester City,Danny Simpson,Right-Back,QPR,2014/2015,2.9262819999999996
30.0,2.6,3.724468,ACF Fiorentina,José María Basanta,Centre-Back,Monterrey,2014/2015,1.1244679999999998
23.0,2.7,4.975234,Bologna FC 1909,Lorenzo Crisetig,Defensive Midfield,Inter,2016/2017,2.275234
26.0,21.0,7.223434,Sevilla FC,Quincy Promes,Left Winger,Spartak Moscow,2018/2019,-13.776565999999999
29.0,10.0,8.258433,Athletic Bilbao,Raúl García,Centre-Forward,Atlético Madrid,2015/2016,-1.7415669999999999
20.0,0.019,3.3213453,FK Orenburg,Ivan Lapshov,Centre-Back,Loko-Kazanka M.,2019/2020,3.3023453
26.0,7.0,5.408911,AS Roma,Iago Falque,Right Winger,Genoa,2015/2016,-1.5910890000000002
25.0,25.0,23.855368,Everton FC,André Gomes,Central Midfield,Barcelona,2019/2020,-1.1446320000000014
25.0,17.0,9.459447,West Bromwich Albion,Salomón Rondón,Centre-Forward,Zenit S-Pb,2015/2016,-7.540552999999999
32.0,3.0,2.4412787,VfB Stuttgart,Mario Gómez,Centre-Forward,VfL Wolfsburg,2017/2018,-0.5587213000000002
24.0,1.75,3.4893038,Vitória Guimarães SC,Guillermo Celis,Defensive Midfield,Benfica,2017/2018,1.7393038
25.0,0.6,5.690837,FK Rostov,Kamil Agalarov,Defensive Midfield,Anzhi,2013/2014,5.0908370000000005
31.0,0.6,0.34505975,Rio Ave FC,Jhonatan,Goalkeeper,Vit. Guimarães,2022/2023,-0.25494025
16.0,0.5,1.3294853,Krylya Sovetov Samara,Sergey Pinyaev,Left Winger,Chertanovo,2021/2022,0.8294853
23.0,3.2,3.9915648,FC Porto,Toni Martínez,Centre-Forward,Famalicão,2020/2021,0.7915647999999997
31.0,1.5,1.1555483,Levante UD,Coke,Right-Back,FC Schalke 04,2018/2019,-0.3444517
20.0,0.035,1.8993353,Krylya Sovetov Samara,Leonid Gerchikov,Right Winger,Dolgoprudnyi,2021/2022,1.8643353
32.0,2.7,10.078062,Atlético de Madrid,Daniel Wass,Central Midfield,Valencia,2021/2022,7.378061999999999
20.0,2.1,7.4766536,SL Benfica,Alejandro Grimaldo,Left-Back,Barcelona B,2015/2016,5.376653599999999
28.0,3.2,7.9087467,West Ham United,James Collins,Centre-Back,Aston Villa,2012/2013,4.7087467
21.0,1.0,1.5824653,Parma FC,Daniele Casiraghi,Attacking Midfield,Lecce,2014/2015,0.5824653
24.0,4.1,2.3188686,FC Toulouse,Veljko Birmancevic,Left Winger,Malmö FF,2022/2023,-1.7811313999999996
29.0,2.8,9.45756,AS Roma,Ervin Zukanovic,Centre-Back,Sampdoria,2016/2017,6.657560000000001
19.0,1.75,4.6130347,Parma FC,Raman Chibsah,Central Midfield,Juventus U19,2012/2013,2.8630347
22.0,4.84,1.9560112,Sporting CP,Alan Ruiz,Central Midfield,San Lorenzo,2016/2017,-2.8839888
19.0,2.66,5.061417,SL Benfica,Pedro Pereira,Right Midfield,Sampdoria,2016/2017,2.4014169999999995
27.0,1.5,3.1394775,RC Strasbourg Alsace,Jonas Martin,Defensive Midfield,Real Betis,2017/2018,1.6394775
22.0,19.0,26.12952,Juventus FC,Mattia Caldara,Centre-Back,Atalanta BC,2016/2017,7.129519999999999
19.0,5.5,4.3167043,Brighton & Hove Albion,Michal Karbownik,Right-Back,Legia Warszawa,2020/2021,-1.1832957000000004
22.0,14.1,20.93287,Tottenham Hotspur,Clinton N'Jie,Right Winger,Olympique Lyon,2015/2016,6.8328700000000016
22.0,20.0,8.354819,UC Sampdoria,Emil Audero,Goalkeeper,Juventus,2019/2020,-11.645181
35.0,1.7,18.709532,Manchester United,Lee Grant,Goalkeeper,Stoke City,2018/2019,17.009532
22.0,0.5,2.7992806,Fortuna Düsseldorf,Mathis Bolly,Left Winger,Lillestrøm,2012/2013,2.2992806
25.0,2.5,3.7467713,ACF Fiorentina,Maximiliano Olivera,Left-Back,Peñarol,2017/2018,1.2467712999999998
23.0,0.2,2.8807602,Krylya Sovetov Samara,Maksim Karpov,Centre-Back,Zenit 2 S-Pb,2018/2019,2.6807602
21.0,34.0,8.232677,SL Benfica,Darwin Núñez,Centre-Forward,UD Almería,2020/2021,-25.767322999999998
21.0,0.093,3.3590477,Parma Calcio 1913,Walid Cheddira,Centre-Forward,Sangiustese,2019/2020,3.2660477
22.0,8.25,12.926155,Inter Milan,Gianluca Caprari,Second Striker,Pescara,2016/2017,4.676155
21.0,10.0,7.5012326,SSC Napoli,Khvicha Kvaratskhelia,Left Winger,Dinamo Batumi,2022/2023,-2.4987674
25.0,1.5,4.2157187,FC Crotone,Jacopo Petriccione,Defensive Midfield,Lecce,2020/2021,2.7157187
33.0,14.0,16.661985,Arsenal FC,Petr Cech,Goalkeeper,Chelsea,2015/2016,2.6619850000000014
23.0,45.0,16.002779,Wolverhampton Wanderers,Matheus Nunes,Central Midfield,Sporting CP,2022/2023,-28.997221
22.0,0.6,5.2356453,SL Benfica,Chiquinho,Attacking Midfield,Coimbra,2018/2019,4.6356453
21.0,3.0,1.804892,Torino FC,Josef Martínez,Centre-Forward,BSC Young Boys,2014/2015,-1.195108
21.0,40.0,12.271688,Valencia CF,Gonçalo Guedes,Left Winger,Paris SG,2018/2019,-27.728312000000003
26.0,8.5,8.900891,Hull City,Shane Long,Centre-Forward,West Brom,2013/2014,0.40089099999999966
25.0,62.5,34.53693,Liverpool FC,Alisson,Goalkeeper,AS Roma,2018/2019,-27.963070000000002
18.0,0.068,3.1005368,Queens Park Rangers,Ryan Manning,Left-Back,Galway United,2014/2015,3.0325368
26.0,0.3,2.1404622,FK Khimki,Cristian Tassano,Centre-Back,Santa Clara,2022/2023,1.8404622
22.0,2.0,2.015444,SM Caen,Alexander Djiku,Centre-Back,SC Bastia,2017/2018,0.015444000000000013
18.0,5.0,8.109039,Real Madrid,Jesús Vallejo,Centre-Back,Real Zaragoza,2015/2016,3.109038999999999
31.0,7.0,7.231832,Leicester City,Gökhan Inler,Defensive Midfield,SSC Napoli,2015/2016,0.23183199999999982
19.0,1.0,9.165284,FC Barcelona,Jean-Clair Todibo,Centre-Back,Toulouse,2018/2019,8.165284
27.0,0.8,7.4209113,ACF Fiorentina,Mounir El Hamdaoui,Centre-Forward,Ajax U21,2012/2013,6.6209113
22.0,4.0,4.62692,Venezia FC,Michaël Cuisance,Central Midfield,Bayern Munich,2021/2022,0.6269200000000001
