club_name,age,player_name,position,club_involved_name,season,Valore Reale,Valore Predetto,Differenza
Hamburger SV,26.0,Nicolai Müller,Attacking Midfield,1.FSV Mainz 05,2,4.5,2.071221377839001,-2.428778622160999
Rio Ave FC,21.0,Esmaël Gonçalves,Centre-Forward,OGC Nice,0,0.4,3.642852388677337,3.242852388677337
Stade Brestois 29,22.0,Charlison Benschop,Centre-Forward,AZ Alkmaar,0,1.25,4.302369140541908,3.0523691405419084
Amkar Perm,27.0,Thomas Phibel,Centre-Back,Widzew Lodz,1,0.35,1.2883044197017277,0.9383044197017277
Athletic Bilbao,26.0,Cristian Ganea,Left-Back,FC Viitorul,6,1.0,3.573562102040728,2.573562102040728
US Palermo,23.0,Simon Makienok,Centre-Forward,Bröndby IF,2,2.3,2.4458210114789165,0.14582101147891668
Swansea City,26.0,Sam Clucas,Central Midfield,Hull City,5,16.3,8.613114208471007,-7.686885791528994
Feyenoord Rotterdam,21.0,Santiago Giménez,Centre-Forward,CD Cruz Azul,10,4.0,6.327739674268448,2.3277396742684484
AS Saint-Étienne,27.0,Nolan Roux,Centre-Forward,LOSC Lille,3,2.0,5.938959510123944,3.9389595101239436
Southampton FC,25.0,Dusan Tadić,Left Winger,Twente FC,2,14.0,8.513034459227255,-5.486965540772745
Swansea City,25.0,Jack Cork,Defensive Midfield,Southampton,2,4.0,11.718169135947116,7.718169135947116
CSKA Moscow,18.0,Lassana N'Diaye,Centre-Forward,Guidars FC,6,0.07,5.131675605330983,5.061675605330983
US Sassuolo,31.0,Alessandro Matri,Centre-Forward,AC Milan,4,1.8,4.64172708725815,2.8417270872581506
Chelsea FC,20.0,Christian Pulisic,Right Winger,Bor. Dortmund,6,64.0,38.47570969160594,-25.524290308394058
AC Milan,21.0,Giacomo Beretta,Centre-Forward,Genoa,1,4.0,5.393585990389498,1.3935859903894983
West Ham United,26.0,Nayef Aguerd,Centre-Back,Stade Rennais,10,35.0,16.96532724179516,-18.03467275820484
Cádiz CF,23.0,Brian Ocampo,Right Winger,Nacional,10,1.9,3.897496268612852,1.997496268612852
EA Guingamp,22.0,Lebogang Phiri,Central Midfield,Bröndby IF,5,0.225,3.0893700197774803,2.86437001977748
Tottenham Hotspur,24.0,Kieran Trippier,Right-Back,Burnley,3,4.9,11.578654938966562,6.678654938966561
Vitesse Arnhem,27.0,Tomas Hajek,Centre-Back,Viktoria Plzen,7,0.4,2.8062594255605617,2.406259425560562
Spartak Moscow,18.0,Nail Umyarov,Defensive Midfield,Chertanovo,6,0.3,3.0460137983923943,2.7460137983923945
AC Milan,30.0,Nikola Kalinic,Centre-Forward,Fiorentina,6,22.5,13.679981052702402,-8.820018947297598
Parma FC,21.0,Alessandro Iacobucci,Goalkeeper,Siena,0,3.4,1.1705295706011178,-2.229470429398882
ACF Fiorentina,23.0,Arthur Cabral,Centre-Forward,FC Basel,9,14.0,6.951201299659461,-7.048798700340539
Rubin Kazan,19.0,Rifat Zhemaletdinov,Attacking Midfield,Loko Moscow II,4,0.15,3.449214724825981,3.299214724825981
AFC Bournemouth,20.0,Ilya Zabarnyi,Centre-Back,Dynamo Kyiv,10,22.7,8.991728852208587,-13.708271147791413
